问题ID,描述,位置,违反规范,优先级,修复时间,风险,状态,负责人
P0-001,紧急停止空实现,UIMotionControlUseCase.cpp:298,INDUSTRIAL_EMERGENCY_STOP,P0,1天,高,🔴待修复,
P0-002,Domain层使用std::thread,StatusMonitor.h:116,DOMAIN_NO_IO_OR_THREADING,P0,2天,高,🔴待修复,
P0-003,Domain层使用std::cout,DiagnosticSystem.cpp:27,DOMAIN_NO_IO_OR_THREADING,P0,1天,中,🔴待修复,
P0-004,Domain层使用sleep,BufferManager.cpp:39,INDUSTRIAL_REALTIME_SAFETY,P0,2天,高,🔴待修复,
P0-005,缓冲区忙等待,BufferManager.cpp:32,INDUSTRIAL_REALTIME_SAFETY,P0,2天,高,🔴待修复,
P1-001,Domain调用硬件API,StatusMonitor.cpp:77,HARDWARE_DOMAIN_ISOLATION,P1,3天,中,🟡待修复,
P1-002,命名空间不完整,PositionTriggerController.h:15,NAMESPACE_LAYER_ISOLATION,P1,1天,低,🟡待修复,
P1-003,前向声明硬件类型,DiagnosticSystem.h:4,HARDWARE_DOMAIN_ISOLATION,P1,1天,中,🟡待修复,
P1-004,CMP验证不足,PositionTriggerController.cpp:110,INDUSTRIAL_CMP_TEST_SAFETY,P1,2天,中,🟡待修复,
P1-005,抑制注释过多,多处,-,P1,1周,低,🟡待审计,
P1-006,throw抑制,BufferManager.cpp:10,FORBIDDEN_DOMAIN_EXCEPTIONS,P1,1天,低,🟡待审计,
P1-007,throw抑制,TrajectoryExecutor.cpp:37,FORBIDDEN_DOMAIN_EXCEPTIONS,P1,1天,低,🟡待审计,
P1-008,Port接口STL抑制,IHardwareConnectionPort.h:24,PORT_INTERFACE_PURITY,P1,1天,低,🟡待审计,
P2-001,日志不一致,多处,-,P2,1周,低,🟢待修复,
P2-002,代码重复,多处,-,P2,2周,低,🟢待修复,
P2-003,命名不一致,多处,-,P2,1周,低,🟢待修复,
P2-004,缺少noexcept,多处,DOMAIN_PUBLIC_API_NOEXCEPT,P2,1周,低,🟢待修复
